Time;input.current_ref_limited;input.dc_current_actual;output.control_angle;output.pi_controller_output;output.error;
0.291025;0.01;0.000731523;0.243204;0.0426852;0.00926848;
0.292025;0.01;0.000731523;0.243175;0.0428706;0.00926848;
0.293025;0.01;0.00167205;0.243779;0.0390796;0.00832795;
0.294025;0.01;0.000627020;0.243083;0.0434449;0.00937298;
0.295025;0.01;0.000731523;0.24312;0.0432128;0.00926848;
0.296025;0.01;0.0294699;0.261453;-0.0718972;-0.0194699;
0.297025;0.01;0.00909179;0.248513;0.00933986;0.000908215;
0.298025;0.01;0.000731523;0.24316;0.0429637;0.00926848;
0.299025;0.01;0.0136899;0.251405;-0.00882645;-0.00368993;
0.300025;0.01;0.00114954;0.243426;0.0412924;0.00885046;
0.301025;0.04;0.000731523;0.223863;0.163488;0.0392685;
0.302025;0.07;0.0256033;0.220401;0.184907;0.0443967;
0.303025;0.1;0.0181836;0.195498;0.335794;0.0818164;
0.304025;0.13;0.0214232;0.176601;0.445003;0.108577;
0.305025;0.16;0.104817;0.212558;0.233093;0.0551831;
0.306025;0.19;0.158949;0.228080;0.137292;0.0310504;
0.307025;0.22;0.146409;0.200097;0.308436;0.0735907;
0.308025;0.25;0.166787;0.193292;0.348817;0.0832126;
0.309025;0.28;0.216949;0.206568;0.269516;0.0630510;
0.310025;0.31;0.204408;0.177258;0.441305;0.105591;
0.311025;0.34;0.227608;0.171948;0.470994;0.112392;
0.312025;0.37;0.278606;0.186422;0.388932;0.0913939;
0.313025;0.4;0.271813;0.159545;0.53824;0.128187;
0.314025;0.4;0.285189;0.168973;0.487397;0.114811;
0.315025;0.4;0.34298;0.208500;0.257805;0.0570202;
0.316025;0.4;0.360954;0.220095;0.186795;0.0390457;
0.317025;0.4;0.341517;0.207229;0.265514;0.0584833;
0.318025;0.4;0.32814;0.198067;0.320544;0.0718597;
0.319025;0.4;0.385722;0.235512;0.0909062;0.0142784;
0.320025;0.4;0.378929;0.231123;0.118327;0.0210711;
0.321025;0.4;0.312569;0.187115;0.384915;0.0874307;
0.322025;0.4;0.348832;0.211224;0.241232;0.0511681;
0.323025;0.4;0.345697;0.209007;0.254725;0.0543031;
0.324025;0.4;0.288011;0.169009;0.4872;0.111989;
0.325025;0.4;0.333156;0.200112;0.308348;0.0668435;
0.326025;0.4;0.341308;0.205348;0.276892;0.0586923;
0.327025;0.4;0.295849;0.173862;0.460349;0.104151;
0.328025;0.4;0.346951;0.208512;0.257732;0.0530491;
0.329025;0.4;0.410280;0.249257;0.00467067;-0.0102798;
0.330025;0.4;0.410489;0.249441;0.00351476;-0.0104889;
0.331025;0.4;0.339636;0.203605;0.287396;0.0603643;
0.332025;0.4;0.347996;0.208917;0.255277;0.0520041;
0.333025;0.4;0.349981;0.210073;0.248246;0.0500185;
0.334025;0.4;0.285816;0.165464;0.506527;0.114184;
0.335025;0.4;0.331171;0.197004;0.326863;0.0688291;
0.336025;0.4;0.341726;0.203870;0.285805;0.0582743;
0.337025;0.4;0.288952;0.166933;0.498552;0.111048;
0.338025;0.4;0.323333;0.190861;0.363092;0.0766669;
0.339025;0.4;0.379242;0.227591;0.140334;0.0207576;
0.340025;0.4;0.386976;0.232519;0.109618;0.0130244;
0.341025;0.4;0.323856;0.190885;0.362949;0.0761443;
0.342025;0.4;0.36294;0.216691;0.207765;0.0370601;
0.343025;0.4;0.370778;0.221687;0.176961;0.0292224;
0.344025;0.4;0.310061;0.180844;0.420977;0.0899388;
0.345025;0.4;0.332216;0.195792;0.334053;0.0677841;
0.346025;0.4;0.345906;0.204767;0.280397;0.0540941;
0.347025;0.4;0.295431;0.169622;0.483836;0.104569;
0.348025;0.4;0.321243;0.187518;0.382581;0.0787569;
0.349025;0.4;0.356252;0.210822;0.243684;0.0437483;
0.350025;0.4;0.35249;0.208202;0.259617;0.0475105;
0.351025;0.4;0.312883;0.18111;0.419456;0.0871172;
0.352025;0.4;0.376839;0.223689;0.164563;0.0231612;
0.353025;0.4;0.391051;0.232792;0.107910;0.00894874;
0.354025;0.4;0.336605;0.197087;0.326369;0.0633949;
0.355025;0.4;0.334306;0.19527;0.337139;0.065694;
0.356025;0.4;0.351863;0.206830;0.267932;0.0481375;
0.357025;0.4;0.304836;0.174387;0.457417;0.0951639;
0.358025;0.4;0.327618;0.189995;0.368156;0.0723822;
0.359025;0.4;0.355311;0.208397;0.258431;0.0446889;
0.360025;0.4;0.331066;0.191983;0.356513;0.0689336;
0.361025;0.4;0.326155;0.188328;0.377874;0.0738453;
0.362025;0.4;0.407354;0.241473;0.0535504;-0.00735375;
