Time;input.control_angle_pu;output.upper_limit_pu;output.lower_limit_pu;output.limited_control_angle_pu;output.limit_active;
0.253025;0.257556;0.416594;0.0138465;0.257556;0.0;
0.254025;0.243306;0.416169;0.0138465;0.243306;0.0;
0.255025;0.243343;0.416954;0.0138465;0.243343;0.0;
0.256025;0.252395;0.416858;0.0138465;0.252395;0.0;
0.257025;0.243327;0.416501;0.0138465;0.243327;0.0;
0.258025;0.243297;0.416956;0.0138465;0.243297;0.0;
0.259025;0.250209;0.416943;0.0138465;0.250209;0.0;
0.260025;0.243276;0.416521;0.0138465;0.243276;0.0;
0.261025;0.243247;0.41691;0.0138465;0.243247;0.0;
0.262025;0.243217;0.416977;0.0138465;0.243217;0.0;
0.263025;0.261976;0.416491;0.0138465;0.261976;0.0;
0.264025;0.243281;0.415875;0.0138465;0.243281;0.0;
0.265025;0.243251;0.416856;0.0138465;0.243251;0.0;
0.266025;0.253837;0.416873;0.0138465;0.253837;0.0;
0.267025;0.243244;0.416403;0.0138465;0.243244;0.0;
0.268025;0.243215;0.416934;0.0138465;0.243215;0.0;
0.269025;0.250260;0.416948;0.0138465;0.250260;0.0;
0.270025;0.243195;0.416504;0.0138465;0.243195;0.0;
0.271025;0.243166;0.416902;0.0138465;0.243166;0.0;
0.272025;0.243136;0.416978;0.0138465;0.243136;0.0;
0.273025;0.266516;0.416453;0.0138465;0.266516;0.0;
0.274025;0.243506;0.415555;0.0138465;0.243506;0.0;
0.275025;0.243211;0.416663;0.0138465;0.243211;0.0;
0.276025;0.25573;0.416895;0.0138465;0.25573;0.0;
0.277025;0.243218;0.416271;0.0138465;0.243218;0.0;
0.278025;0.243188;0.416882;0.0138465;0.243188;0.0;
0.279025;0.250500;0.416959;0.0138465;0.250500;0.0;
0.280025;0.243173;0.416472;0.0138465;0.243173;0.0;
0.281025;0.243143;0.416883;0.0138465;0.243143;0.0;
0.282025;0.243114;0.416981;0.0138465;0.243114;0.0;
0.283025;0.271866;0.416436;0.0138465;0.271866;0.0;
0.284025;0.254451;0.415183;0.0138465;0.254451;0.0;
0.285025;0.243246;0.416279;0.0138465;0.243246;0.0;
0.286025;0.257967;0.41692;0.0138465;0.257967;0.0;
0.287025;0.243739;0.416117;0.0138465;0.243739;0.0;
0.288025;0.243244;0.416772;0.0138465;0.243244;0.0;
0.289025;0.250955;0.416974;0.0138465;0.250955;0.0;
0.290025;0.243367;0.416426;0.0138465;0.243367;0.0;
0.291025;0.243204;0.416849;0.0138465;0.243204;0.0;
0.292025;0.243175;0.416986;0.0138465;0.243175;0.0;
0.293025;0.243779;0.416656;0.0138465;0.243779;0.0;
0.294025;0.243083;0.416772;0.0138465;0.243083;0.0;
0.295025;0.24312;0.416986;0.0138465;0.24312;0.0;
0.296025;0.261453;0.416744;0.0138465;0.261453;0.0;
0.297025;0.248513;0.415847;0.0138465;0.248513;0.0;
0.298025;0.24316;0.416547;0.0138465;0.24316;0.0;
0.299025;0.251405;0.416986;0.0138465;0.251405;0.0;
0.300025;0.243426;0.416367;0.0138465;0.243426;0.0;
0.301025;0.223863;0.416781;0.0138465;0.223863;0.0;
0.302025;0.220401;0.416922;0.0138465;0.220401;0.0;
0.303025;0.195498;0.415994;0.0138465;0.195498;0.0;
0.304025;0.176601;0.416314;0.0138465;0.176601;0.0;
0.305025;0.212558;0.415928;0.0138465;0.212558;0.0;
0.306025;0.228080;0.412479;0.0138465;0.228080;0.0;
0.307025;0.200097;0.410325;0.0138465;0.200097;0.0;
0.308025;0.193292;0.410971;0.0138465;0.193292;0.0;
0.309025;0.206568;0.410043;0.0138465;0.206568;0.0;
0.310025;0.177258;0.407975;0.0138465;0.177258;0.0;
0.311025;0.171948;0.408542;0.0138465;0.171948;0.0;
0.312025;0.186422;0.407519;0.0138465;0.186422;0.0;
0.313025;0.159545;0.405403;0.0138465;0.159545;0.0;
